s_sat,T_sat,p_sat,h_sat,d_sat
-362.4829521650216,362.0129657699745,812073.6753507013,-109934.12807359056,1092.0112174305245
-361.05370017837424,362.38735081819425,819188.3567134268,-109409.9543814333,1090.4782691831579
-359.63347145147225,362.7592886113842,826303.0380761522,-108888.50967631565,1088.950164845208
-358.2221209438427,363.1288163070718,833417.7194388777,-108369.75148306551,1087.426820621065
-356.81950708037436,363.49597018260937,840532.4008016032,-107853.63830761462,1085.9081545551912
-355.4254916389365,363.86078566333526,847647.0821643287,-107340.12960579063,1084.3940864739152
-354.0399396425542,364.2232973496036,854761.7635270541,-106829.18575335424,1082.884537929525
-352.6627192559083,364.58353904273815,861876.4448897796,-106320.76801721938,1081.3794321465348
-351.29370168595324,364.94154376996255,868991.126252505,-105814.83852779938,1079.8786939700215
-349.9327610864612,365.2973438083531,876105.8076152304,-105311.36025242764,1078.382249815943
-348.57977446630093,365.65097070786214,883220.4889779559,-104810.29696980205,1076.890027623338
-347.23462160127673,366.0024553134551,890335.1703406813,-104311.61324540444,1075.4019568083238
-345.89718494936324,366.35182778640115,897449.8517034068,-103815.27440785115,1073.917968219804
-344.5673495691875,366.69911762475584,904564.5330661322,-103321.24652613621,1072.4379940968377
-343.24500304158386,367.04435368307605,911679.2144288577,-102829.49638771571,1070.9619680275339
-341.93003539411865,367.38756419139617,918793.8957915831,-102339.99147741082,1069.4898249094863
-340.62233902841723,367.72877677350397,925908.5771543086,-101852.69995707934,1068.0215009116018
-339.3218084318868,368.0680185202364,933023.258517034,-101367.59056568328,1066.5569331795552
-338.02834096372703,368.40531578868655,940137.9398797594,-100884.63291443199,1065.0960608070445
-336.7418355385332,368.74069453791327,947252.6212424849,-100403.79700820972,1063.638823326538
-335.46219337962054,369.0741801364565,954367.3026052103,-99925.05352810804,1062.1851616371637
-334.1893177591079,369.40579742847774,961481.9839679358,-99448.37374110914,1060.7350177379597
-332.92311393972375,369.73557074842006,968596.6653306612,-98973.72948374617,1059.2883346970843
-331.6634891186715,370.0635239351542,975711.3466933867,-98501.09314633289,1057.8450566220881
-330.4103523734606,370.38968034563146,982826.0280561121,-98030.43765773541,1056.4051286311737
