s_sat,T_sat,p_sat,h_sat,d_sat
-391.1562839700674,391.61746916544496,880332.5651302605,-121326.86975030282,510.81975901807044
-388.4121731337418,391.9835765731025,886944.0881763528,-120238.81142466997,510.1207025076863
-385.68240673222505,392.3476463276861,893555.6112224449,-119155.35875607931,509.4233477299565
-382.9667881507828,392.70970490978203,900167.1342685372,-118076.45053525775,508.72766722206944
-380.26512476665994,393.06977826143066,906778.6573146293,-117002.02674986668,508.0336340227769
-377.5772278379999,393.4278918009488,913390.1803607215,-115932.02855181984,507.3412216585313
-374.9029119143344,393.7840705001907,920001.7034068137,-114866.39803580465,506.6504039983859
-372.2419966201852,394.138338652009,926613.2264529059,-113805.07895169278,505.9611557559491
-369.59430378526656,394.4907202452451,933224.749498998,-112748.01558492576,505.2734517217477
-366.9596591553816,394.84123874159707,939836.2725450903,-111695.15343925882,504.5872672435052
-364.33789185661215,395.18991714586997,946447.7955911824,-110646.43903513976,503.90257809397696
-361.7288343051285,395.53677801802144,953059.3186372747,-109601.81988307429,503.21936045962207
-359.13232211998246,395.88184348480917,959670.8416833668,-108561.24445785765,502.5375909296325
-356.548194038797,396.2251352510534,966282.3647294589,-107524.66217364775,501.85724648531726
-353.9762918362028,396.56667461053365,972893.8877755512,-106492.02335983314,501.1783044898167
-351.41646024495105,396.90648245652926,979505.4108216433,-105463.27923768332,500.50074267814813
-348.86854687956486,397.2445792920213,986116.9338677356,-104438.38189773273,499.8245391475531
-346.3324021624477,397.5809852395677,992728.4569138277,-103417.28427788212,499.1496723481492
-343.80787925234876,397.9157200508642,999339.9799599199,-102399.94014218492,498.47612107386504
-341.29483397510137,398.2488031160022,1005951.5030060121,-101386.30406029536,497.8038644536565
-338.7931247565325,398.58025347243756,1012563.0260521043,-100376.33138754996,497.1328819429837
-336.3026125574805,398.9100898136778,1019174.5490981964,-99369.97824566218,496.4631533155463
-333.8231608108189,399.2383304977023,1025786.0721442887,-98367.20150400342,495.79465865526487
-331.3546353604395,399.5649935551206,1032397.5951903808,-97367.95876145425,495.12737834849924
-328.8969044020918,399.89009669708395,1039009.1182364731,-96372.2083287993,494.461293076496
-326.44983842603403,400.21365732295385,1045620.6412825652,-95379.90921165001,493.79638380805676
-324.0133101614132,400.5356925277409,1052232.1643286573,-94391.02109387176,493.13263179241454
-321.5871945223211,400.8562191093193,1058843.6873747497,-93405.50432150313,492.4700185523212
-319.1713685554637,401.1752535754262,1065455.2104208418,-92423.31988714548,491.8085258773265
-316.765711389374,401.49281215045477,1072066.733466934,-91444.42941480422,491.14813581724974
-314.3701041851375,401.80891078204496,1078678.256513026,-90468.79514517356,490.4888306758345
-311.98443008854156,402.1235651474843,1085289.7795591182,-89496.37992133693,489.8305930045772
-309.608574183645,402.4367906599192,1091901.3026052106,-88527.14717488506,489.17340559673545
-307.24242344766566,402.74860247438903,1098512.8256513027,-87561.0609124202,488.5172514814887
-304.885866707174,403.0590154936864,1105124.3486973948,-86598.08570244146,487.86211391826447
-302.5387945955492,403.36804437404845,1111735.871743487,-85638.18666260246,487.20797639122117
-300.20109951162937,403.6757035306881,1118347.3947895793,-84681.32944731964,486.5548226038718
-297.8726755795291,403.9820071431691,1124958.9178356715,-83727.48023572144,485.90263647385393
-295.5534186095981,404.2869691606287,1131570.4408817636,-82776.60571993401,485.2514021278408
-293.24322606045047,404.59060330685656,1138181.9639278557,-81828.67309368208,484.60110389658
-290.9419970020595,404.8929230852313,1144793.486973948,-80883.65004120117,483.95172631006824
-288.64963207985926,405.1939417835217,1151405.0100200402,-79941.5047264475,483.30325409284234
-286.3660334798365,405.49367247855554,1158016.5330661323,-79002.20578259909,482.65567215939757
-284.0911048945691,405.79212804076195,1164628.0561122245,-78065.72230183448,482.00896560972217
-281.82475149017375,406.08932113859055,1171239.5791583166,-77132.0238253798,481.3631197249359
-279.56687987416524,406.3852642428101,1177851.102204409,-76201.08033382514,480.71811996305235
-277.3173980641474,406.6799696306939,1184462.625250501,-75272.86223768437,480.07395195483167
-275.07621545735265,406.9734493900927,1191074.1482965932,-74347.34036820641,479.43060149974434
-272.84324280097985,407.2657154233992,1197685.6713426854,-73424.48596842028,478.78805456202963
-270.61839216331515,407.5567794514085,1204297.1943887777,-72504.27068441424,478.146297266853
-268.4015769055957,407.8466530170779,1210908.7174348698,-71586.66655682996,477.50531589654867
-266.19271165461515,408.1353474891878,1217520.240480962,-70671.64601257899,476.86509688696
-263.99171227602443,408.42287406590845,1224131.763527054,-69759.1818567621,476.2256268238596
-261.7984958483316,408.7092437782728,1230743.2865731465,-68849.24726479859,475.58689243945724
-259.6129806375426,408.9944674935643,1237354.8096192386,-67941.81577473979,474.9488806089872
-257.43508607246423,409.27855591861334,1243966.3326653307,-67036.86127978301,474.3115783473722
-255.2647327206163,409.5615196030137,1250577.8557114229,-66134.3580209631,473.6749728059657
-253.1018422647509,409.8433689422567,1257189.3787575152,-65234.28058002365,473.03905126936644
-250.94633747995806,410.12411418078557,1263800.9018036074,-64336.60387246291,472.4038011523057
-248.79814221133347,410.40376541497517,1270412.4248496995,-63441.30314074433,471.76920999659995
-246.65718135219413,410.6823325960372,1277023.9478957916,-62548.353947670796,471.1352654681746
-244.52338082283677,410.9598255328524,1283635.4709418837,-61657.73216991879,470.50195535415025
-242.39666754979547,411.23625389473483,1290246.993987976,-60769.413991719375,469.8692675599874
-240.27697065918665,411.5116270565122,1296858.5170340682,-59883.37640615535,469.23719046900266
-238.16421651130744,411.7859547435618,1303470.0400801604,-58999.59514142947,468.6057114639349
-236.0583362434789,412.0592460519866,1310081.5631262525,-58118.0478160385,467.97481917940854
-233.95926060921627,412.3315101192058,1316693.0861723449,-57238.7117840071,467.34450196681036
-231.86692127185572,412.6027559559105,1323304.609218437,-56361.56467748865,466.71474828249063
-229.7812507866154,412.8729924484498,1329916.1322645291,-55486.58440127816,466.0855466852531
-227.70218258306784,413.1422283611611,1336527.6553106213,-54613.749127447314,465.45688583388875
-225.62965094801547,413.4104723386453,1343139.1783567136,-53743.037290097716,464.82875448475875
-223.56359100876912,413.67773290798806,1349750.7014028057,-52874.42758023429,464.2011414894253
-221.50393871680177,413.9440184809294,1356362.2244488979,-52007.898940750805,463.57403579232874
